	Atha_Ler.0_sShoots_FLT_Rep1_F.F2_raw.CEL	Atha_Ler.0_sShoots_FLT_Rep2_F.F3_raw.CEL	Atha_Ler.0_sShoots_FLT_Rep3_F.F4_raw.CEL	Atha_Ler.0_sShoots_GC_Rep1_H.F2_raw.CEL	Atha_Ler.0_sShoots_GC_Rep2_H.F3_raw.CEL	Atha_Ler.0_sShoots_GC_Rep3_H.F4_raw.CEL
244901_at	8.33761401508431	7.9534289285612	7.98629175110373	8.84544453960275	9.12302294940023	8.53337082055669
244902_at	7.1740771728137	7.14598423685707	6.98687234083198	7.93597163571558	8.37435596035388	7.47506002349622
244903_at	7.27633624795479	7.3929930153304	6.93226461852817	8.39767908107188	8.6867223092105	8.15865893161988
244904_at	2.63207792156849	3.09253340288917	3.15168195260843	3.49008729067862	4.0380434488918	3.0523941016179
244905_at	1.44428044521955	1.76655009867556	1.06379234491864	1.23894033777252	1.43576386756197	1.23894033777252
244906_at	9.13844401318073	9.18032354099124	9.07207029922469	9.53718542691965	9.32205573067838	8.36799576026924
244907_at	4.24026282096792	4.05003040437724	3.34988174418031	5.03263505570282	5.00522042727459	4.25143660758379
244908_at	2.46863138308222	1.66093837483934	1.81474059793942	2.21739747032634	2.84732152998655	2.2682891813907
244909_at	1.28699718352619	1.33348580485787	1.03325337094678	1.80372217402211	1.51881106558695	1.86183987632404
244910_s_at	1.39053418234369	1.28325199615464	1.89863829466999	1.51329183268818	2.75909877947365	2.38184314515805
244911_at	2.62745658753865	2.9179219414721	2.25703540549535	3.30902476731903	2.50842460811368	2.56456819979541
244912_at	3.56550503231351	3.47846098300426	2.84360835743898	3.93893102251699	3.73464195384273	3.28059723304602
244913_at	1.87563141018247	1.87058918893548	1.20285078446108	1.72826242436562	2.52718653063221	1.71122307305055
244914_at	5.40571352784218	5.53422808422249	5.04148579749064	5.83827100204509	5.87583256115036	5.18242674073636
244915_s_at	4.7899933571576	4.64628063077735	3.78038507063299	5.37481787823288	5.5790534848758	4.57606852099112
244916_at	2.92501263962309	2.09145020595258	1.94448689399314	3.43186784815147	3.72249194054628	2.46937360441438
244917_at	3.92490297703543	3.17971533808632	3.06421159742709	3.8877327301178	4.08647378067356	3.33122706584462
244918_at	2.12438927322084	2.09659892488316	1.97057273748398	2.54874603583345	2.6907839219584	1.57423086242211
244919_at	3.37571704018207	3.74798291903131	3.34684267143304	4.62912016156205	4.56344587563625	4.40080754929051
244920_s_at	4.71225061500502	4.61700036291878	4.50859554324935	5.67105856079899	6.32748468883127	4.97046108847187
244921_s_at	3.49114775573278	4.43323779538952	3.61501411492178	4.48388468472981	5.53378598817516	5.22732426053197
244922_s_at	2.59376256265637	1.99168329055703	1.97060365103893	2.69521187969041	2.27264171722695	2.17453588749922
244923_s_at	1.29966750144707	1.49721388387042	1.53260665965909	1.90930662314771	1.81251457113591	1.544301605206
244924_at	2.40384780816882	2.85769012151256	2.23288198659619	3.12651486828748	3.33934518446861	2.75682115798774
244925_at	1.5191426440252	1.78354811625831	1.52423890360276	2.15330236377795	3.00842200571727	2.02604842992913
244926_s_at	7.41510727876858	7.16645497480176	6.61777558658234	7.95324087235442	7.7835957831615	7.4380501887769
244927_at	3.85383838057112	4.37453800537003	4.77974967547197	5.48024956653738	5.20376790570241	5.04260317866704
244928_s_at	3.43701515093543	3.66637425165056	3.55954184010823	4.66347562658888	5.0496875758121	4.11142790577704
244929_at	4.8128939340728	4.86827751149325	4.56537222581236	5.91088336893007	6.22429506475455	5.32713335504423
244930_at	3.06730403999742	2.9519984280195	2.38331863653218	4.045244339814	4.54139880284832	3.766419042431
244931_at	3.01326540425092	2.91173696418179	2.62976168324389	3.79064471067434	3.82705224802941	3.49008729067862
244932_at	9.93088461521975	10.295394852031	10.2326806787409	9.84888993377669	10.2600989729166	9.03618662292059
244933_at	7.70604718653981	8.15558016568968	8.25826363261691	8.29355969046137	8.6765088053461	6.87606481528594
244934_at	7.1765827424675	7.28142043128146	7.20465439136742	7.16867459052124	7.61859747798924	6.25903564139437
244935_at	7.37070303120729	7.86404439148419	7.46988921667361	7.89729944990413	8.24678502237744	6.91814668820322
244936_at	7.29606259675156	7.86762180393117	7.54626080268343	7.58050247289682	7.35906572901339	6.23386207576713
244937_at	6.74829021595004	7.22017841985821	6.8690308519837	7.01861067443092	7.34190019382575	6.20462333924634
244938_at	7.65902365977581	8.40487315001717	7.95049913245984	8.23035738327591	8.69694754332679	7.20561088377256
244939_at	10.1758032979339	10.7366392270717	10.2089570321157	10.2168122949088	10.5279791030401	9.44173030239729
244940_at	10.4844286410589	10.555302759764	10.4924613378662	10.6374522094321	10.4765934006809	9.84787790729267
244941_at	4.58585563557347	4.62287535779178	4.5475108683655	4.99415099335127	5.66762572720843	4.80213369803629
244942_at	1.81551354829304	1.52173787417053	1.52843733103251	1.62238111671844	1.41786559669985	1.67690237386224
244943_at	4.63291713602333	5.29225661254806	4.46845793973676	5.95596180702094	6.54444802186902	5.70568934780038
244944_s_at	4.25581289126537	4.56557080034576	3.90222514108534	5.40446969451336	5.99276381534671	5.10496263236363
244945_at	5.85928582541344	5.79187051473089	5.51040525914615	6.83980283348763	7.13351868809267	6.41369958928877
244946_at	2.37952461069372	2.74624855287836	2.54874603583345	3.50726542399831	4.39353336773594	3.76513916984751
244947_at	3.42342377687409	3.14222666173913	2.25518554438539	3.10788288554605	3.92914569480203	3.08690112060077
244948_at	4.19503271002914	4.19164949661997	3.43314682564817	4.61395126514007	4.68715522987352	4.39619089415323
244949_at	4.06668046529113	3.80168612543451	3.55924298484746	4.41047858557104	4.62352492186535	4.1176418952512
244950_at	6.56022059005434	6.77801964220633	6.56718507187198	7.68873324223167	7.67814625250521	6.81501481558378
244951_s_at	6.58887290432508	6.57600037681459	6.39664726108841	7.76976724467073	7.9503273461161	7.36707034101437
244952_at	5.77057202573708	5.85914795155821	4.79550662132594	6.27150346507618	6.08928233418791	5.47194200020283
244953_s_at	5.17263148216596	4.90532592593942	4.95731420370907	5.3245348776471	6.00199726611189	5.43034696003584
244954_s_at	5.17568842763663	4.25777494677254	4.86630942111104	6.50731861973855	5.37745680405517	5.63783222096755
244955_at	3.84874490402319	3.34935752526104	3.27265657890137	4.43507988038038	5.50874910391631	3.90068479855994
244956_s_at	5.00395961928253	4.65835933027878	4.37550418697766	6.26549677156103	6.82945912279501	5.36623191862369
244957_at	7.6611708898074	7.54656574889223	7.38425034303935	8.18515494979753	8.71833872680623	7.55477316663956
244958_at	2.23728633924601	2.09672603007423	2.00459365371221	2.54874603583345	2.94085369866624	1.69774702694769
244959_s_at	1.62975532031009	1.99244129239374	1.695872703705	2.54582647981583	2.83773792119724	2.07403332715819
244960_at	8.7810292009665	9.50087528400258	9.52899363760281	8.97534092618731	9.29646316999635	7.94986107885792
244961_at	9.15680364875423	10.0306546116051	9.6836520547415	9.56545567896853	9.52377453239589	8.51391367450295
244962_at	7.64762031569393	8.33403501336019	8.27826097871964	7.50733563479123	7.99756148705525	6.3617878506135
244963_at	11.2564956687296	11.6200597205227	11.4317842132357	11.0209776928516	11.3939548112772	10.4353957718423
244964_at	8.58847409427196	9.16015279413345	8.71462082359989	8.61940376908546	8.35163182700497	7.62487449837378
244965_at	3.80135060256661	5.53054657814724	4.72989255746719	4.77165828705076	5.5619515684995	2.74625313807578
244966_at	6.09927402377698	6.90408060571813	6.94670217067698	6.24104285766542	6.83123884418675	4.73738900601574
244967_at	6.84200116034559	7.77795143249164	6.98795536320766	6.54659224059354	6.34122221613497	4.95849478312518
244968_at	10.2666528206696	10.7592781989791	10.4319354103193	10.2219071133519	10.3298178018545	9.22736214367294
244969_at	7.28576083872227	7.46667281109565	7.22584202354369	7.01456016249831	7.58756560289432	6.35271406704998
244970_at	10.335514583124	10.3289182358972	10.1242617228539	10.5288977370137	10.6139572030127	9.65604627428057
