"","PC1","PC2","PC3","PC4","PC5","PC6"
"Atha_Ler-0_sShoots_FLT_Rep1_F-F2_raw.CEL",-92.0038834650202,41.0296752998476,-71.1735860205162,40.8948675892312,-56.9795463779161,1.18940015442996e-12
"Atha_Ler-0_sShoots_FLT_Rep2_F-F3_raw.CEL",-40.149046533309,91.9062182511506,7.61372989942368,38.7477501453585,74.1535956634418,-2.65009423842835e-12
"Atha_Ler-0_sShoots_FLT_Rep3_F-F4_raw.CEL",-188.929671498501,-80.4773406067675,47.1361728429346,-40.4052614486899,1.09394088406302,2.16637924504819e-12
"Atha_Ler-0_sShoots_GC_Rep1_H-F2_raw.CEL",91.9416703862699,99.1386342753888,3.24774882037996,-81.0307133312839,-17.1668560008585,8.67162139756581e-13
"Atha_Ler-0_sShoots_GC_Rep2_H-F3_raw.CEL",120.299483475308,-30.9507974470773,81.1804146914336,51.1142350591733,-31.4423032132256,-1.55291097770618e-12
"Atha_Ler-0_sShoots_GC_Rep3_H-F4_raw.CEL",108.841447635256,-120.64638977254,-68.0044802336569,-9.32087801379186,30.3411690444969,1.71542914964053e-13
